
2024/05/03 (20:29:48) | ===> btop++ v.1.3.2
2024/05/03 (20:29:48) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/05 (12:28:20) | ===> btop++ v.1.3.2
2024/05/05 (12:28:20) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/05 (12:29:05) | ===> btop++ v.1.3.2
2024/05/05 (12:29:05) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/05 (12:30:25) | ===> btop++ v.1.3.2
2024/05/05 (12:30:25) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/05 (12:31:33) | ===> btop++ v.1.3.2
2024/05/05 (12:31:33) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/09 (21:01:14) | ===> btop++ v.1.3.2
2024/05/09 (21:01:14) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/09 (21:01:28) | ===> btop++ v.1.3.2
2024/05/09 (21:01:28) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (14:16:01) | ===> btop++ v.1.3.2
2024/05/14 (14:16:01) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (16:31:21) | ===> btop++ v.1.3.2
2024/05/14 (16:31:21) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/05/14 (17:54:22) | ===> btop++ v.1.3.2
2024/05/14 (17:54:22) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/06/22 (11:22:29) | ===> btop++ v.1.3.2
2024/06/22 (11:22:29) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/08/10 (17:40:44) | ===> btop++ v.1.3.2
2024/08/10 (17:40:44) | WARNING: Failed to set locale UTF-8 continuing anyway.
