1703596304.824459 client started (52318): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1703596304.824524 on Darwin 23.2.0 Darwin Kernel Version 23.2.0: Wed Nov 15 21:53:18 PST 2023; root:xnu-10002.61.3~2/RELEASE_ARM64_T6000
1703596304.824542 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1703596304.824562 flags are 0x18010000
1703596304.824569 socket is /private/tmp/tmux-501/default
1703596304.824585 trying connect
1703596304.824635 add peer 0x110018000: 6 (0x0)
1703596304.826607 sending message 100 to peer 0x110018000 (4 bytes)
1703596304.826619 sending message 111 to peer 0x110018000 (8 bytes)
1703596304.826625 sending message 101 to peer 0x110018000 (15 bytes)
1703596304.826631 sending message 109 to peer 0x110018000 (4 bytes)
1703596304.826638 sending message 102 to peer 0x110018000 (13 bytes)
1703596304.826643 sending message 108 to peer 0x110018000 (17 bytes)
1703596304.826649 sending message 112 to peer 0x110018000 (58 bytes)
1703596304.826654 sending message 112 to peer 0x110018000 (5 bytes)
1703596304.826659 sending message 112 to peer 0x110018000 (5 bytes)
1703596304.826664 sending message 112 to peer 0x110018000 (6 bytes)
1703596304.826669 sending message 112 to peer 0x110018000 (6 bytes)
1703596304.826674 sending message 112 to peer 0x110018000 (11 bytes)
1703596304.826680 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.826685 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.826691 sending message 112 to peer 0x110018000 (14 bytes)
1703596304.826697 sending message 112 to peer 0x110018000 (19 bytes)
1703596304.826702 sending message 112 to peer 0x110018000 (11 bytes)
1703596304.826707 sending message 112 to peer 0x110018000 (10 bytes)
1703596304.826713 sending message 112 to peer 0x110018000 (15 bytes)
1703596304.826718 sending message 112 to peer 0x110018000 (21 bytes)
1703596304.826723 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.826728 sending message 112 to peer 0x110018000 (7 bytes)
1703596304.826734 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.826741 sending message 112 to peer 0x110018000 (7 bytes)
1703596304.826749 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.826758 sending message 112 to peer 0x110018000 (9 bytes)
1703596304.826767 sending message 112 to peer 0x110018000 (21 bytes)
1703596304.826774 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.826779 sending message 112 to peer 0x110018000 (9 bytes)
1703596304.826784 sending message 112 to peer 0x110018000 (16 bytes)
1703596304.826789 sending message 112 to peer 0x110018000 (13 bytes)
1703596304.826794 sending message 112 to peer 0x110018000 (9 bytes)
1703596304.826799 sending message 112 to peer 0x110018000 (9 bytes)
1703596304.826804 sending message 112 to peer 0x110018000 (12 bytes)
1703596304.826810 sending message 112 to peer 0x110018000 (8 bytes)
1703596304.826815 sending message 112 to peer 0x110018000 (8 bytes)
